id,nazev,absolutni_magnituda,prumer_max_metry,rychlost_km_h,vzdalenost_minuti_km,je_sentry_objekt,je_nebezpecny
2885992,885992 (2019 TP1),21.18,345.1755128432,48649.3261679102,22798573.180264778,False,True
54606415,(2026 EP3),25.919,38.9260179678,29427.2097239939,3156079.42800256,False,False
54606574,(2026 FM3),29.329,8.095431061,19585.9008799865,237901.513357658,True,False
54606739,(2026 FG4),28.607,11.2885972511,39133.1202107958,1784593.188177669,False,False
54606892,(2026 FB5),28.682,10.905359297,36945.9281672363,491365.364016102,True,False
54607102,(2026 FM7),27.087,22.7321220314,27320.4784837273,586618.352027805,False,False
54607106,(2026 FR8),26.862,25.2138972547,29810.6775722991,866964.640729509,False,False
54607422,(2026 FQ12),26.371,31.6111269411,32478.3312683984,930862.019907721,False,False
54607426,(2026 FT12),27.738,16.8437962272,21878.8030269969,522247.854625931,False,False
54607428,(2026 FV12),26.434,30.7071831125,71862.1416108468,3074349.070173341,False,False
3748280,(2016 FB4),22.0,236.6137501138,96540.7116355978,74615501.353039566,False,False
3838930,(2019 EA2),25.8,41.1187571041,49952.3842437462,44272088.552688728,False,False
54196402,(2021 RN14),26.91,24.6626635778,75429.4663517692,44295909.021528828,False,False
54253553,(2022 ES4),26.47,30.2022973344,72595.3484393388,54223242.299663643,False,False
54300597,(2022 RK),25.89,39.4493615328,38505.6268084868,46221076.336188097,False,False
54356838,(2023 HW4),26.97,23.9905375262,35279.9551498472,31119637.162575916,False,False
54606564,(2026 FB3),26.613,28.2774327867,47113.626866202,2818366.27562005,False,False
54606734,(2026 FB4),27.9,15.6329154409,37545.1442957966,649803.002073976,True,False
54607104,(2026 FP8),26.991,23.7596467147,75234.621557002,1074668.91148066,True,False
54607237,(2026 FN9),24.57,72.4502650757,46047.8825132828,14524067.136813762,False,False
